date,state,death,negative,positive,totalTestResults
2021-02-21,WV,2261.0,2011616.0,129616.0,2141232.0
2021-02-21,WY,662.0,178648.0,53795.0,620388.0
2021-02-20,AK,289.0,,55198.0,1629829.0
2021-02-20,AL,9590.0,1872725.0,485986.0,2253891.0
2021-02-20,AR,5348.0,2350951.0,315230.0,2600443.0
2021-02-20,AS,0.0,2140.0,0.0,2140.0
2021-02-20,AZ,15480.0,2931160.0,806163.0,7396328.0
2021-02-20,CA,48825.0,,3435186.0,46813876.0
2021-02-20,CO,5887.0,2130803.0,419812.0,5987245.0
2021-02-20,CT,7523.0,,273101.0,6096514.0
2021-02-20,DC,994.0,,39553.0,1191009.0
2021-02-20,DE,1366.0,530918.0,84531.0,1348654.0
2021-02-20,FL,30339.0,8989547.0,1829773.0,21059797.0
2021-02-20,GA,16742.0,,983747.0,7019510.0
2021-02-20,GU,130.0,106994.0,7716.0,114710.0
2021-02-20,HI,430.0,,27837.0,1054099.0
2021-02-20,IA,5336.0,1021641.0,276966.0,1298607.0
2021-02-20,ID,1826.0,492368.0,168953.0,629647.0
2021-02-20,IL,22426.0,16374707.0,1172824.0,17547531.0
2021-02-20,IN,12336.0,2421585.0,654660.0,7721658.0
2021-02-20,KS,4614.0,947591.0,290832.0,1238423.0
2021-02-20,KY,4426.0,,396018.0,3807556.0
2021-02-20,LA,9440.0,4967843.0,422287.0,5390130.0
2021-02-20,MA,15779.0,4276228.0,567764.0,15462524.0
2021-02-20,MD,7697.0,2956317.0,375737.0,7622654.0
2021-02-20,ME,658.0,1499401.0,43367.0,1542768.0
2021-02-20,MI,16342.0,9410432.0,636269.0,10046701.0
2021-02-20,MN,6423.0,2950728.0,478157.0,6729262.0
2021-02-20,MO,7715.0,1833540.0,474587.0,4384973.0
2021-02-20,MP,2.0,17429.0,135.0,17564.0
2021-02-20,MS,6553.0,1393383.0,290242.0,1683625.0
2021-02-20,MT,1341.0,950273.0,98641.0,1048914.0
2021-02-20,NC,10896.0,9145181.0,840096.0,9985277.0
2021-02-20,ND,1465.0,302687.0,99228.0,1392548.0
2021-02-20,NE,2047.0,756304.0,198751.0,2309233.0
2021-02-20,NH,1153.0,570489.0,73161.0,1403242.0
2021-02-20,NJ,22834.0,9566182.0,764374.0,10330556.0
2021-02-20,NM,3610.0,2417800.0,182475.0,2600275.0
2021-02-20,NV,4868.0,1100139.0,290671.0,2656833.0
2021-02-20,NY,37776.0,,1572175.0,36240435.0
2021-02-20,OH,16749.0,,952306.0,9750755.0
2021-02-20,OK,4155.0,2996195.0,418318.0,3414513.0
2021-02-20,OR,2149.0,,152190.0,3465787.0
2021-02-20,PA,23570.0,3815778.0,911591.0,10070782.0
2021-02-20,PR,1957.0,305972.0,98835.0,404807.0
2021-02-20,RI,2462.0,656943.0,123548.0,2874434.0
2021-02-20,SC,8256.0,4309050.0,501277.0,4810327.0
2021-02-20,SD,1859.0,306170.0,111165.0,417335.0
2021-02-20,TN,11115.0,6023431.0,764008.0,6787439.0
2021-02-20,TX,41213.0,,2583617.0,19127832.0
2021-02-20,UT,1842.0,1507875.0,366034.0,2788882.0
2021-02-20,VA,7197.0,,561812.0,5728208.0
2021-02-20,VI,25.0,43564.0,2575.0,46139.0
2021-02-20,VT,196.0,309335.0,14359.0,1009285.0
2021-02-20,WA,4822.0,,332904.0,5048054.0
2021-02-20,WI,6871.0,2588501.0,611789.0,6653378.0
2021-02-20,WV,2254.0,2004794.0,129364.0,2134158.0
2021-02-20,WY,662.0,178648.0,53683.0,620388.0
2021-02-19,AK,289.0,,55198.0,1629829.0
2021-02-19,AL,9573.0,1867861.0,485212.0,2248455.0
2021-02-19,AR,5336.0,2348207.0,314713.0,2597383.0
2021-02-19,AS,0.0,2140.0,0.0,2140.0
2021-02-19,AZ,15421.0,2918905.0,804116.0,7351175.0
2021-02-19,CA,48344.0,,3428518.0,46621654.0
2021-02-19,CO,5878.0,2126610.0,418695.0,5960772.0
2021-02-19,CT,7523.0,,273101.0,6096514.0
2021-02-19,DC,993.0,,39461.0,1186987.0
2021-02-19,DE,1343.0,529807.0,84181.0,1341919.0
2021-02-19,FL,30214.0,8956962.0,1822644.0,20944479.0
2021-02-19,GA,16610.0,,980411.0,6988224.0
2021-02-19,GU,130.0,106994.0,7715.0,114709.0
2021-02-19,HI,430.0,,27778.0,1053796.0
2021-02-19,IA,5336.0,1020693.0,276621.0,1297314.0
2021-02-19,ID,1826.0,491263.0,168639.0,628267.0
2021-02-19,IL,22368.0,16303417.0,1170902.0,17474319.0
2021-02-19,IN,12325.0,2416621.0,653245.0,7683034.0
2021-02-19,KS,4614.0,947591.0,290832.0,1238423.0
2021-02-19,KY,4401.0,,394687.0,3798304.0
2021-02-19,LA,9440.0,4967843.0,422287.0,5390130.0
2021-02-19,MA,15726.0,4267078.0,565794.0,15347522.0
2021-02-19,MD,7677.0,2951435.0,374974.0,7597220.0
2021-02-19,ME,656.0,1499401.0,43224.0,1542625.0
2021-02-19,MI,16274.0,9372640.0,635446.0,10008086.0
2021-02-19,MN,6412.0,2943682.0,477287.0,6700993.0
2021-02-19,MO,7709.0,1830931.0,474021.0,4373021.0
2021-02-19,MP,2.0,17429.0,135.0,17564.0
2021-02-19,MS,6534.0,1393383.0,289892.0,1683275.0
2021-02-19,MT,1339.0,945070.0,98377.0,1043447.0
2021-02-19,NC,10820.0,9091308.0,836650.0,9927958.0
2021-02-19,ND,1465.0,301973.0,99153.0,1387253.0
2021-02-19,NE,2043.0,755340.0,198442.0,2301258.0
2021-02-19,NH,1152.0,568939.0,72767.0,1393693.0
2021-02-19,NJ,22784.0,9566182.0,761498.0,10327680.0
2021-02-19,NM,3599.0,2404612.0,182050.0,2586662.0
2021-02-19,NV,4831.0,1098605.0,290300.0,2650086.0
2021-02-19,NY,37675.0,,1564483.0,35988790.0
2021-02-19,OH,16693.0,,949695.0,9723498.0
2021-02-19,OK,4132.0,2992254.0,417345.0,3409599.0
2021-02-19,OR,2149.0,,151713.0,3449326.0
2021-02-19,PA,23480.0,3807727.0,908773.0,10032502.0
